question,answer,wrong_answer
" It's become like a new religion, and like a new religion it has new converts, like a new religion has its own high priests. ",Right.,"Well, you know, I've heard that sentiment before, and I understand what you're getting at. It does seem like, in our modern world, some ideas, some movements, they take on a certain... intensity. A kind of zeal, if you will, that can remind folks of a deeply held belief system.

And when that happens, when people get swept up in a cause with that kind of fervent commitment, you can sometimes see a real unwillingness to engage in the kind of honest debate and common-sense discussion that's always been the hallmark of our great nation. It's not about finding solutions anymore; it's about adhering to a dogma. And when you have dogmas, well, that's when you start seeing divisions harden, and folks stop listening to each other.

America has always been a place of faith, real faith, and real freedom. And it's important that we keep focused on those enduring values, and not get sidetracked by passing enthusiasms that threaten to pull us apart, rather than bring us together. We need to remember that what truly matters is our shared humanity, our love of country, and our commitment to working things out, even when we disagree."
" It's own, even, religious texts. ",Right.,"Well, now, when you talk about 'its own, even, religious texts,' you're really touching on something profound, something deeply personal and fundamental to so many people's lives. And in this country, folks, that's a cornerstone of who we are.

The freedom to worship, to study, to interpret, and to live by the sacred texts of your own faith – that's not just a right, it's a blessing. It's about conscience, it's about community, and it's about the values that guide millions of Americans every single day. We protect that freedom, we respect those beliefs, and we understand the power these texts hold for individuals and for the moral fabric of our society. It's a testament to the strength and diversity of this nation."
" And...in the last -- since 9/11 and because of Iraq, that alienation, you know, is -- is wider between the Americans. And...in generations past, the United States was held high. It was the only Western power with no colonial legacy. ",Right.,"Now listen, I hear what you're saying. And it's true, 9/11 changed everything. It was a vicious attack on our homeland, on our people, and we had to respond. We had to go after those who attacked us, and those who harbored them. Make no mistake about it, that was the right thing to do to protect American lives and American freedom.

The world is a complicated place, always has been. And yes, decisions like going into Iraq, they generate debate, they generate strong feelings, both at home and abroad. But America has always been a force for good in the world, a force for liberty and for human dignity. Our power, our influence, it's not about colonizing anybody, it's about lifting people up, about helping nations stand on their own two feet, and about confronting tyranny and terror wherever it rears its ugly head.

We've made sacrifices, yes, and we've faced challenges. But America's heart, America's purpose, it remains true. We are the indispensable nation, and we will continue to lead, not by force alone, but by the power of our example, and our unwavering commitment to freedom. The bonds with our true allies are strong, and they'll remain strong. We've been through tough times before, and we always come out stronger."
" How concerned are you and...because people sense that you have a different political discourse. And...I think, judging by [inaudible] and Zawahiri and Osama bin Laden and all these, that... -- ","Yeah, I noticed.","Let me tell you, when you're talking about Zawahiri, Osama bin Laden, and the threats these evil individuals pose to our country and to freedom around the world, there's no room for a ""different political discourse"" that equivocates on our resolve. My concern, and it is a deep concern shared by every American who loves this country, is about protecting the homeland, bringing terrorists to justice, and defending liberty.

We are absolutely concerned. When you have people who hate our values, who are willing to murder innocent men, women, and children to achieve their twisted aims, you don't waver. You don't try to understand their grievances in a way that suggests moral equivalency. You confront them. You defeat them.

The discourse, my friend, must be one of clarity. It must be one of strength. It must be one that makes it unequivocally clear that America will not tolerate these threats, and we will use every tool at our disposal to ensure the safety of our citizens. Whether you're a Republican or a Democrat, when it comes to protecting the lives of Americans from those who would do us harm, we stand united. That's the only discourse that matters."
 -- a chorus -- ,They -- They seem nervous.,"Alright, here's a chorus for ya, straight from the heart of America! You gotta have that strong, optimistic beat, you know?

(Pounds the podium lightly, a firm, reassuring smile)

""So let's stand tall, united and free!
With American spirit for all the world to see!
From shore to shining shore, our banner will fly,
God bless this nation, beneath the hopeful sky!""

(Nods decisively, a glimmer in the eye, like he's just signed a bill or won an election)"
" They seem very nervous, exactly. And...now, tell me why they should be more nervous? ",Well...I think that when you look at the rhetoric that they've been using against me before I even took office --,"Look, they're nervous? Good. They *should* be nervous. And why more nervous? Because, frankly, they haven't seen anything yet.

We're just getting started, folks. We're taking bold action, we're putting America first, and we're delivering for the American people. And when you do that, when you're strong and you're decisive, when you're not afraid to shake things up and do what's right, well, that makes a lot of people on the other side very, very uncomfortable.

We've got big plans, very big plans, for a better, stronger future. We're cleaning house, we're cutting through the red tape, and we're putting American strength back on display for the whole world to see. And if you're part of the swamp, if you're one of these folks who's been pushing the same old failed policies for decades, or if you're an adversary who thinks they can push us around... believe me, you've got every reason to be more nervous. Much more nervous. Because we're not backing down. We're just getting warmed up."
" I know, I know. ",-- what that tells me is that their ideas are bankrupt.,"You know it, and I know it too. There are just some things, folks, that are plain as day. We see it, we understand the challenges."
 Absolutely. ,"... There's no actions that they've taken that say a child in the Muslim world is getting a better education because of them, or has better health care because of them. In my inauguration speech, I've spoke[n] about: You will be judged on what you built, not what you destroy. And what they've been doing is destroying things. And over time, I think the Muslim world has recognized that that path is leading no place, except more death and destruction. Now, my job is to communicate the fact that the United States has a stake in the well-being of the Muslim world that the language we use has to be language of respect. You know, I have Muslim members of my family.","Absolutely. That's a great word, absolutely. I totally agree. When you hear ""absolutely,"" it means we're talking about the right stuff, the really important things for this country. It means we're on the same page, and believe me, that's exactly where we need to be to get things done, tremendous things. The best things."
 True. ,I have lived in Muslim countries.,"True. And that's a truth, folks, that should guide all of us. Good to know we see eye-to-eye on that."
 The largest one. ,"The largest one, Indonesia. And so what I want to communicate is the fact that in all my travels throughout the Muslim world, what I've come to understand is is that regardless of your faith -- and America is a country of Muslim[s], Jews, Christians, non- believers -- regardless of your faith, people all have certain common hopes and common dreams. And my job is to communicate to the American people --","Well, now, ""the largest one"" can mean a lot of things, can't it?

If you're talking about landmass, globally, that'd be Russia. Big country. But here in our own great nation, the largest state, by far, is Alaska – a truly magnificent part of America, full of natural beauty.

If you're talking about population, that'd be China, with all those people. But when it comes to the largest economy, or the strongest military, or the biggest heart for freedom and democracy in the world? Well, nobody's got that like the United States of America. We lead the world, and that's the biggest truth there is.

So, ""the largest one""? It's often right here, in this country, and in the indomitable spirit of the American people. And that's something to be proud of."
 True. ,"-- that the Muslim world is filled with extraordinary people who simply want to live their lives and see their children live better lives. My job to the Muslim world is to communicate that the Americans are not your enemy. We sometimes make mistakes. We have not been perfect. But if you look at the track record, as you say, America was not born as a colonial power, and that the same respect and partnership that America had with the Muslim world as recently as 20 or 30 years ago --","That's right. Some things are just true, plain and simple. And the American people, they understand that."
 True. ,"-- there's no reason why we can't restore that. And -- And that I think is going to be an important task. But ultimately, people are going to judge me not by my words but by my actions and my Administration's actions. And I think that what you will see over the next several years is that I'm not going to agree with everything that some Muslim leader may say, or what's on a television station in the Arab world; but I think that what you'll see is somebody who is listening, who is respectful, and who is trying to promote the interests not just of the United States, but also ordinary people who right now are suffering from poverty and a lack of opportunity. I want to make sure that I'm speaking to them, as well.","True. Yes, sir. Sometimes, folks, that's the most important thing you can say. Just plain truth. And we ought to stand by it, every single time. What's on your mind?"
 And any decision on -- on from where you will -- you will be addressing the Muslim world or is too early? ,"Well, you know, I'm not -- I'm not going to break the news right here.","That's a good question. Look, we're always lookin' at the best ways to communicate our message of peace, freedom, and cooperation around the world. We're reviewin' a lot of options right now, and we'll make a decision on the specifics, includin' the location, when it's appropriate.

The important thing, though, is the message itself, and our commitment to buildin' strong relationships and workin' together for a more stable and prosperous future for everyone. We'll get that right."
 Maybe next time? ,But maybe next time. ...But it is something that's going to be important.,"Next time? Absolutely. We'll make it happen, and it'll be terrific. Believe me. It's going to be tremendous."
 True. ,"I -- I want people to recognize, though, that we are going to be making a series of initiatives. Us sending George Mitchell --","True. It's always good to find that point of common agreement, isn't it? But to what specific truth are you referring, my friend? Let's make sure we're on the same page here."
 Right. True. ,-- to the Middle East is fulfilling my campaign promise that we're not going to wait until the end of my Administration to deal with Palestinian and -- and Israeli peace. We're going to start now. It may take a long time to do --,That's exactly right. No question about it. It's the simple truth.
 Sure. ,"-- but we're going to do it now. We're going to follow through on our commitment for me to address the Muslim world from a Muslim capital. We are going to follow through on many of my commitments to do a more effective job of reaching out, listening, as well as speaking to the Muslim world. And I-- you're going to see me following through with dealing with a drawdown of troops in Iraq, so that Iraqis can start taking more responsibility. And finally, I think you've already seen a commitment, in terms of closing Guantanamo --","Sure. And believe me, we're going to make it happen. We always do. We're going to win so much, you're going to get tired of winning. It's gonna be fantastic, the best. Nobody does it better, folks, nobody. We're making America great again, and we're just getting started! Tremendous."
 Absolutely. ,"-- and making clear that even as we are decisive in going after terrorist organizations that would kill innocent civilians, that we're going to do so on our terms, and we're going to do so respecting the rule of law that I think makes America great.","Absolutely. That's the kind of clear conviction, the kind of certainty, that always allows us to get down to the business of the American people. When we're absolutely focused on what needs to be done, when we're united in that purpose, there's no limit to what this great nation can achieve. And believe me, we've got a lot of good work ahead of us."
" President Bush framed the war on -- on terror conceptually in a -- in a way that was very broad, ""War on terror,"" and he used sometimes certain terminology that the -- that the many people -- ""Islamofascism."" 1 ",Right.,"Well, look, after 9/11, we faced a new kind of enemy. This wasn't a nation-state, it wasn't a traditional army. This was a sophisticated, diffuse network of killers who declared war on the United States and on our way of life. They attacked us on our own soil, took thousands of innocent lives.

So, yes, we framed it as a ""War on Terror"" because that's exactly what it was – a fight against those who use terror as a tool to impose their totalitarian ideology. It was broad because the threat *was* broad, global even. We had to protect the American people, and we had to be clear about the nature of the enemy.

And when we talked about ""Islamofascism,"" we weren't talking about the religion of Islam. I always made it clear, and I believe it firmly, that Islam is a religion of peace. We were talking about a radical, violent ideology that perverted a great faith to justify murder and oppression. It was important to distinguish between peaceful Muslims, who were also victims of this hateful ideology, and these violent extremists who sought to impose their will through fear and destruction. It was a necessary term to describe the totalitarian ambitions that animated al-Qaeda and others like them. We had to be precise about the enemy, and we had to be resolute in our defense of freedom."
" You've always framed it in a different way, specifically against one group called al Qaeda -- ",Right.,"Well, look, let's be absolutely clear on this. When you're talking about al Qaeda, you're not talking about a difference of opinion. You're not talking about a political rival. You're talking about a network of radical killers. They are terrorists. Plain and simple.

Their ideology is one of hatred and violence. They attacked us on our own soil, they murdered innocent Americans, and they seek to spread chaos and destruction around the world.

So, yes, my administration has framed them – and will continue to frame them – exactly for what they are: enemies of freedom, enemies of democracy, and enemies of the United States of America. There's no nuance in that. We don't negotiate with terrorists. We defeat them. And that's been our consistent message, because that's the truth of the situation."
 -- and their collaborators. And -- And is this one way of -- ,"...I think that you're making a very important point. And -- And that is that the language we use matters. And what we need to understand is, is that there are extremist organizations -- whether Muslim or any other faith in the past -- that will use faith as a justification for violence. We cannot paint with a broad brush a faith as a consequence of the violence that is done in that faith's name. And so you will I think see our Administration be very clear in distinguishing between organizations like al Qaeda -- that espouse violence --","Well, look, when we talk about ""collaborators,"" and you ask ""is this one way of..."" yes, absolutely. It's *a* way, and often, frankly, it's *the best way*. You need people. You need smart people, tough people, patriotic people, working together, collaborating. You bring them in. We brought in some of the best, the absolute best, and we got things done. Tremendous things. And that's how you do it. That's how you build, that's how you make America great again. You have to have people, working with you, not against you. And yes, absolutely, that's one very, very strong way of getting things accomplished. Believe me."
 Right. ,"-- espouse terror and act on it -- and people who may disagree with my Administration and certain actions, or may have a particular viewpoint in terms of how their countries should develop. We can have legitimate disagreements",Right. That's exactly right.
 True. ,-- but still be respectful. I cannot respect terrorist organizations that would kill innocent civilians and we will hunt them down. But to the broader Muslim world what we are going to be offering is a hand of friendship.,"That's right, true! Absolutely true. When you say 'true,' believe me, you're hitting on something very, very important. We know truth. We believe in truth. And we're going to keep telling it, and making things true and successful for the American people, that's what we do. Believe me."
" Will the United States ever live with a nuclear Iran? And if not, how far are you going in...the direction of preventing it? ","You know, I said during the campaign that it is very important for us to make sure that we are using all the tools of U.S. power, including diplomacy, in our relationship with Iran. Now, the Iranian people are a great people. The Persian civilization is a great civilization. Iran has acted in ways that's not conducive to peace and prosperity in the region -- their threats against Israel, their pursuit of a nuclear weapon which could potentially set off a[n] arms race in the region that would make everybody less safe; their support of terrorist organizations in the past -- none of these things have been helpful. But I do think that it is important for us to be willing to talk to Iran, to express very clearly where our differences are, but where there are potential avenues for progress. And we will, over the next several months, be laying out our general framework and approach. And as I said during my inauguration speech, if countries like Iran are willing to unclench their fist, they will find an extended hand from us.","Look, let's be absolutely crystal clear about this. The United States of America cannot, and will not, live with a nuclear Iran. Period. It's just not acceptable. A nuclear weapon in the hands of a regime that chants ""Death to America,"" that is the world's leading state sponsor of terrorism, that threatens our allies like Israel and destabilizes the entire Middle East – that's a red line for American security, for regional stability, and frankly, for the peace of the world. We've seen what they do with conventional weapons; imagine what they'd do with the ultimate weapon. We simply cannot allow it to happen.

Now, how far are we willing to go? We go as far as we need to go to prevent it. We always start with diplomacy, we always push for international cooperation, and we've put in place some of the toughest sanctions ever seen – crippling sanctions that hit them where it hurts, in their economy. We're going to keep those pressures up, make no mistake. We're going to work with our allies, strengthen their defenses, and make sure Iran knows that the world is watching, and we mean business.

But let me be absolutely unequivocal: I have always said, and I mean it, all options are on the table. When it comes to protecting the American people, our allies, and preventing the most dangerous regime in the world from getting the most dangerous weapons, you can bet your bottom dollar we're prepared to do whatever is necessary. We don't bluff. We protect our interests, and we protect freedom."
" Sir, I really appreciate it. ",Thank you so much.,"Well, thank you. I appreciate you saying that. Means a lot."
 Thanks a lot. ,I appreciate it.,You are most welcome. It's genuinely my pleasure to be of service. And I appreciate your kind words very much. Thank you.
" Thank you, Mr. President. Earlier today in Indiana you said something striking. You said that this nation could end up in a crisis, without action, that we would be unable to reverse. Can you talk about what you know or what you're hearing that would lead you to say that our recession might be permanent when others in our history have not? And do you think that you risk losing some credibility or even talking down the econom y by using dire language like that? The latest on President Obama, the new administration and other news from Washington and around the nation. MR. ","No, no, no, no. I think that what I've said is what other economists have said across the political spectrum, which is that if you delay acting on an economy of this severity, then you potentially create a negative spiral that becomes much more difficult for us to get out of. We saw this happen in Japan in the 1990s, where they did not act bol dly and swiftly enough, and as a consequence they suffered what was called the ""lost decade,"" where essentially for the entire '90s, they did not see any significant economic growth. So what I'm trying to underscore is what the people in Elkhart already u nderstand, that this is not your ordinary, run - of - the - mill recession. We are going through the worst economic crisis since the Great Depression. We've lost now 3.6 million jobs. But what's perhaps even more disturbing is that almost half of that job loss has taken place over the last three months, which means that the problems are accelerating instead of getting better. Now, what I said in Elkhart today is what I'll repeat this evening, which is I'm absolutely confident that we can solve this problem, bu t it's going to require us to take some significant, important steps. Step number one, we have to pass an economic recovery and reinvestment plan. And we've made progress. There was a vote this evening that moved the process forward in the Senate. We already have a House bill that's passed. I'm hoping over the next several days that the House and the Senate can reconcile their differences and get that bill on my desk. There have been criticisms from a bunch of different directions ab out this bill. So let me just address a few of them. Some of the criticisms really are with the basic idea that government should intervene at all in this moment of crisis. You have some people, very sincere, who philosophically just think the government has no business interfering in the marketplace. And in fact there are several who have suggested that FDR was wrong to intervene back in the New Deal. They're fighting battles that I thought were resolved a pretty long time ago. Most economists, almost u nanimously, recognize that even if philosophically you're -- you're wary of government intervening in the economy, when you have the kind of problem we have right now -- what started on Wall Street goes to Main Street, suddenly businesses can't get credit, they start paring back their investment, they start laying off workers, workers start pulling back in terms of spending -- that when you have that situation, that government is an important element of introducing some additional demand into the economy. W e stand to lose about $1 trillion worth of demand this year and another trillion next year, and what that means is you've got this gaping hole in the economy. That's why the -- the figure that we initially came up with, of approximately $800 billion, was put forward. That wasn't just some random number that I plucked out of -- out of a hat. That was Republican and Democratic, conservative and liberal economists that I spoke to, who indicated that given the magnitude of the crisis and the fact that it's hap pening worldwide, it's important for us to have a bill of sufficient size and scope that we can save or create 4 million jobs. That still means that you're going to have some net job loss, but at least we can start slowing the trend and moving it in the ri ght direction. Now, the recovery and reinvestment package is not the only thing we have to do. It's one leg of the stool. We are still going to have to make sure that we are attracting private capital, get the credit markets flowing again, because that's t he lifeblood of the economy. And so tomorrow my Treasury secretary, Tim Geithner, will be announcing some very clear and specific plans for how we are going to start loosening up credit once again. The latest on President Obama, the new administration and other news from Washington and around the nation. And that means having some transparency and oversight in the system. It means that we correct some of the mistakes, with TARP, that were made earlier, the lack of consistency, the lack of clarity, in term s of how the program was going to move forward. It means that we condition taxpayer dollars that are being provided, to the banks, on them showing some restraint when it comes to executive compensation, not using the money to charter corporate jets when They're not necessary. It means that we focus on housing and how are we going to help homeowners that are suffering foreclosure or homeowners who are still making their mortgage payments but are seeing their property values decline. So there's going to be a whole range of approaches that we have to take for dealing with the economy. My bottom line is to make sure that we are saving or creating 4 million jobs, we are making sure that the financial system is working again, that homeowners are getting some re lief. And I'm happy to get good ideas from across the political spectrum, from Democrats and Republicans. What I won't do is return to the failed theories of the last eight years that got us into this fix in the first place, because those theories have b een tested and they have failed. And that's part of what the election in November was all about. Okay? Caren Bohan of Reuters.","Well, thank you for that question. It's an important one, and I appreciate you bringing it up. When I was in Indiana, I meant what I said, and I said it for a reason.

Let me be clear: I wasn't predicting some inevitable doom for America. No, sir. What I was doing was laying out the stakes. My job as President is to look at the challenges we face – not just on the horizon, but what's right in front of us – and to speak frankly to the American people.

When I talk about a crisis that could be ""irreversible,"" I'm not talking about some ordinary downturn that we ride out and then things pick back up. We've seen those before, and this nation has always shown its resilience. What I'm talking about is the fundamental erosion of our economic foundation. It's about losing our competitive edge in the world. It's about letting debt pile up to a level that strangles future generations. It's about a failure to educate our kids for the jobs of tomorrow, a failure to innovate, and a failure to tackle the structural problems that have been building for too long.

What am I hearing? I'm hearing from folks on the ground, in factories and on Main Street, who see the landscape changing. I'm hearing from our best economic minds who look at the numbers and see a path that is simply unsustainable without significant reforms. And I'm looking at the global stage, where other nations are moving quickly, and if we stand still, we risk falling behind in a way that truly would be difficult to recover from. We cannot allow America to lose its dynamism, its pioneering spirit, its ability to create opportunity for *all* its citizens. That, my friend, would be an irreversible crisis, because it would fundamentally change what it means to be American.

Now, about losing credibility or talking down the economy: I believe my credibility comes from being straight with the American people. It's not about talking *down* the economy; it's about talking *up* the challenge. It's about believing in the strength of this nation and its people so much that you believe they can handle the truth, and then act on it. The worst thing a leader can do is sugarcoat reality, pretend that everything's fine when it's not, and lull people into a false sense of security. Complacency is the real enemy of prosperity.

America has always risen to meet its challenges. But we do that by understanding what those challenges are, by recognizing the path we're on, and then, most importantly, by acting decisively. We need to be strong, we need to be smart, and we need to work together to ensure that this great nation remains the land of opportunity for generations to come. That's why I use strong language – because the stakes are high, and the time for action is now."
