,question,answer
307, And under what circumstances would one-on-one conversations take place? ,"I won’t talk about the details in negotiations. But I think it’s fair to say we want to get this resolved, and we’re not going to be constrained by diplomatic niceties or protocols. If Iran is serious about wanting to resolve this, they’ll be in a position to resolve it."
308, At one point just prior to the election that was talk that talks might be imminent. ,"That was not true, and it’s not true as of today. Just going to knock through a couple others. Mark Landler. Where’s Mark? There he is right in front of me."
309," Thank you, Mr. President. In his endorsement of you a few weeks ago, Mayor Bloomberg said he was motivated by the belief that you would do more to confront the threat of climate change than your opponent. Tomorrow you’re going up to New York City where you’re going to, I assume, see people who are still suffering the effects of Hurricane Sandy, which many people say is further evidence of how a warming globe is changing our weather. What specifically do you plan to do in a second term to tackle the issue of climate change? And do you think the political will exists in Washington to pass legislation that could include some kind of attacks on carbon? ","As you know, Mark, we can’t attribute any particular weather event to climate change. What we do know is the temperature around the globe is increasing faster than was predicted even 10 years ago. We do know that the Arctic ice cap is melting faster than was predicted even five years ago. We do know that there have been extraordinarily -- there have been an extraordinarily large number of severe weather events here in North America, but also around the globe. And I am a firm believer that climate change is real, that it is impacted by human behavior and carbon emissions. And as a consequence, I think we've got an obligation to future generations to do something about it. 4 Now, in my first term, we doubled fuel efficiency standards on cars and trucks. That will have an impact. That will take a lot of carbon out of the atmosphere. We doubled the production of clean energy, which promises to reduce the utilization of fossil fuels for power generation. And we continue to invest in potential breakthrough technologies that could further remove carbon from our atmosphere. But we haven't done as much as we need to. So what I'm going to be doing over the next several weeks, next several months, is having a conversation, a wide-ranging conversation with scientists, engineers, and elected officials to find out what can -- what more can we do to make a short-term progress in reducing carbons, and then working through an education process that I think is necessary -- a discussion, a conversation across the country about what realistically can we do long term to make sure that this is not something we're passing on to future generations that's going to be very expensive and very painful to deal with. I don't know what either Democrats or Republicans are prepared to do at this point, because this is one of those issues that's not just a partisan issue; I also think there are regional differences. There’s no doubt that for us to take on climate change in a serious way would involve making some tough political choices. And understandably, I think the American people right now have been so focused, and will continue to be focused on our economy and jobs and growth, that if the message is somehow we're going to ignore jobs and growth simply to address climate change, I don't think anybody is going to go for that. I won't go for that. If, on the other hand, we can shape an agenda that says we can create jobs, advance growth, and make a serious dent in climate change and be an international leader, I think that's something that the American people would support. So you can expect that you’ll hear more from me in the coming months and years about how we can shape an agenda that garners bipartisan support and helps move this agenda forward."
310," Sounds like you're saying, though, in the current environment, we're probably still short of a consensus on some kind of attack. ","That I'm pretty certain of. And, look, we're still trying to debate whether we can just make sure that middle-class families don't get a tax hike. Let’s see if we can resolve that. That should be easy. This one is hard -- but it’s important because one of the things that we don't always factor in are the costs involved in these natural disasters; we just put them off as something that's unconnected to our behavior right now. And I think what -- based on the evidence we're seeing, is that what we do now is going to have an impact and a cost down the road if we don’t do something about it. All right, last question. Mark Felsenthal. Where’s Mark? 5"
311," Thank you. Mr. President, the Assad regime is engaged in a brutal crackdown on its people. France has recognized the opposition coalition. What would it take for the United States to do the same? And is there any point at which the United States would consider arming the rebels? ","I was one of the first leaders I think around the world to say Assad had to go, in response to the incredible brutality that his government displayed in the face of what were initially peaceful protests. Obviously, the situation in Syria has deteriorated since then. We have been extensively engaged with the international community as well as regional powers to help the opposition. We have committed to hundreds of millions of dollars of humanitarian aid to help folks both inside of Syria and outside of Syria. We are constantly consulting with the opposition on how they can get organized so that they’re not splintered and divided in the face of the onslaught from the Assad regime. We are in very close contact with countries like Turkey and Jordan that immediately border Syria and have an impact -- and obviously Israel, which is having already grave concerns, as we do, about, for example, movements of chemical weapons that might occur in such a chaotic atmosphere and that could have an impact not just within Syria, but on the region as a whole. I’m encouraged to see that the Syrian opposition created an umbrella group that may have more cohesion than they’ve had in the past. We’re going to be talking to them. My envoys are going to be traveling to various meetings that are going to be taking place with the international community and the opposition. We consider them a legitimate representative of the aspirations of the Syrian people. We’re not yet prepared to recognize them as some sort of government in exile, but we do think that it is a broad-based representative group. One of the questions that we’re going to continue to press is making sure that that opposition is committed to a democratic Syria, an inclusive Syria, a moderate Syria. We have seen extremist elements insinuate themselves into the opposition, and one of the things that we have to be on guard about -- particularly when we start talking about arming opposition figures -- is that we’re not indirectly putting arms in the hands of folks who would do Americans harm, or do Israelis harm, or otherwise engage in actions that are detrimental to our national security. So we're constantly probing and working on that issue. The more engaged we are, the more we'll be in a position to make sure that we are encouraging the most moderate, thoughtful elements of the opposition that are committed to inclusion, observance of human rights, and working cooperatively with us over the long term. 6 Thank you very much."
312," Thank you, Mr. President. I'd like to ask you about the other serious issue consuming this town right now, the fiscal cliff. ",Right.
313," Haven’t you betrayed some of the voters who supported you in the election by changing your positions on who should get a tax increase and by including Social Security benefits now in this mix? And more broadly, there seems to be a deepening sense that negotiations aren't going very well right now. Can you give us a candid update? Are we likely to go over the cliff? ","Well, first of all, there's no reason why we should. Remember what I said during the campaign. I thought that it was important for us to reduce our deficit in a balanced and responsible way. I said it was important for us to make sure that millionaires and billionaires paid their fair share. I said that we were going to have to make some tough cuts, some tough decisions on the spending side, but what I wouldn't do was hurt vulnerable families only to pay for a tax cut for somebody like me. And what I said was that the ultimate package would involve a balance of spending cuts and tax increases. That's exactly what I've put forward. What I've said is, is that in order to arrive at a compromise, I am prepared to do some very tough things -- some things that some Democrats don't want to see and probably there are a few Republicans who don't want to see either. But the only way that we're going to be able to stabilize the economy, make sure we've got a platform for long-term economic growth, that we get our deficits under control and we make sure that middle-class families are protected is if we come up with something that members of both parties in Congress can support. And that's the plan that I've put forward. I have gone at least halfway in meeting some of the Republicans' concerns, recognizing that even though we campaigned on these issues, even though the majority of Americans agree with me that we should be raising taxes on the wealthiest few as a means of reducing the deficit, I have also said that I'm willing to identify some spending cuts that make sense. And, frankly, up until about a couple of days ago, if you looked at it, the Republicans in the House and Speaker Boehner I think were in a position to say, we've gotten a fair deal. The fact that they haven't taken it yet is puzzling and I think a question that you're going to have to address to them. I remain optimistic, though, because if you look at what the Speaker has proposed, he's conceded that income tax rates should go up -- except right now he only wants to have them go up for millionaires. If you're making $900,000, somehow he thinks that you can't afford to pay a little more in taxes. But the principle that rates are going to need to go up he's conceded. I've said I'm willing to make some cuts. What separates us is probably a few hundred billion dollars. The idea that we would put our economy at risk because you can't bridge that gap doesn’t make a lot of sense. So I'm going to continue to talk to the Speaker and the other leaders up in Congress. But, ultimately, they've got to do their job. Right now their job is to make sure that middle-class taxes do not go up and that we have a balanced, responsible package of deficit reduction. It is there for all to see. It is a deal that can get done. But it is not going to be -- it cannot be done if every side wants 100 percent. And part of what voters were looking for is some compromise up here. That’s what folks want. They understand that they're not going to get 100 percent of what they want. And for some reason, that message has not yet taken up on Capitol Hill. And when you think about what we've gone through over the last couple of months -- a devastating hurricane, and now one of the worst tragedies in our memory -- the country deserves folks to be willing to compromise on behalf of the greater good, and not tangle themselves up in a whole bunch of ideological positions that don’t make much sense. So I remain not only open to conversations, but I remain eager to get something done. I'd like to get it done before Christmas. There's been a lot of posturing up on Capitol Hill, instead of just going ahead and getting stuff done. And we've been wasting a lot of time. It is the right thing to do. I'm prepared to get it done. But they're going to have to go ahead and make some adjustments. And I'll just give you one other example. The Speaker now is proposing what he calls plan B. So he says, well, this would raise taxes only on folks making a million dollars or more. What that means is an average of a $50,000 tax break for every millionaire out there, at the same time as we're not providing unemployment insurance for 2 million people who are still out there looking for work. It actually means a tax increase for millions of working families across the country at the same time as folks like me would be getting a tax break. That violates the core principles that were debated during the course of this election and that the American people determined was the wrong way to go. And so my hope is, is that the Speaker and his caucus, in conjunction with the other legislative leaders up there, can find a way to make sure that middle-class families don’t see their taxes go up on January 1st; that we make sure that those things that middle-class families count on like tax credits for college, or making sure that they’re getting some help when it comes to raising their kids through things like the child tax credit, that that gets done; and that we have a balanced package for deficit reduction, which is exactly what I’ve put forward."
314," Will you give more ground if you need to, or are you done? ","If you look at the package that I put forward, it is a balanced package by any definition. We have put forward real cuts in spending that are hard to do, in every category. And by any measure, by any traditional calculation, by the measures that Republicans themselves have used in the past, this would be as large a piece of deficit reduction as we’ve seen in the last 20 years. And if you combine that with the increased revenue from the wealthy paying a little bit more, then you actually have something that would stabilize our deficit and debt for a decade -- for 10 years. Now, the notion that we would not do that, but instead the Speaker would run a play that keeps tax cuts for folks making $500,000 or $700,000 or $800,000 or $900,000 a year, and gives more tax breaks to millionaires and billionaires, and raises taxes on middle-class families, and then has no cuts in it -- which is what he says he wants -- doesn’t make much sense. I mean, let’s just think about the logic for a second. They’re thinking about voting for raising taxes at least on folks over a million, which they say they don’t want to do, but they’re going to reject spending cuts that they say they do want to do. That defies logic. There’s no explanation for that. I think that any objective person out there looking would say that we’ve put forward a very balanced plan and it’s time for us to go ahead and get it done. That’s what the country needs right now. Because I think folks have been through some wrenching times, we’re still recovering from a very tough recession, and what they’re hoping for is a sense of stability, focus, compromise, common sense over the next couple of years. And I think we can provide it. But this is a good test for them. Carol Lee."
315," Thank you, Mr. President. Just to follow on Ben's question, what is your next move? Are we in a position now where you're just waiting for the Speaker to make a move? ","Well, I'm going to reach out to all the leaders involved over the next couple of days and find out what is it that's holding this thing up. What is holding it up? If the argument from Republicans is we haven't done enough spending cuts, that argument is not going to fly because we've got close to a trillion dollars of spending cuts. And when you add interest, then it's more than a trillion dollars in spending cuts. If the argument is that they can't do -- they can't increase tax rates on folks making $700,000 or $800,000 a year, that's not a persuasive argument to me and it's certainly not a persuasive argument to the American people. It may be that members of their caucus haven't looked at exactly what we've proposed. It may be that if we provide more information or there's greater specificity or we work through some of their concerns, that we can get some movement then. But the fact of the matter is, is that what would violate my commitment to voters is if I ended up agreeing to a plan that put more of the burden on middle-class families and less of a burden on the wealthy in an effort to reduce our deficit. That's not something I'm going to do. What would violate my commitment to voters would be to put forward a plan that makes it harder for young people to go to college, that makes it harder for a family with a disabled kid to care for that kid. And there's a threshold that you reach where the balance tips, even in making compromises that are required to get something done in this town, where you are hurting people in order to give another advantage to folks who don't need help. And we had an extensive debate about this for a year. And not only does the majority of the American people agree with me, about half of Republican voters agree with me on this. So at some point, there's got to be I think a recognition on the part of my Republican friends that -- take the deal. They will be able to claim that they have worked with me over the last two years to reduce the deficit more than any other deficit reduction package; that we will have stabilized it for 10 years. That is a significant achievement for them. They should be proud of it. But they keep on finding ways to say no, as opposed to finding ways to say yes. And I don’t know how much of that just has to do with -- it is very hard for them to say yes to me. But at some point, they’ve got to take me out of it and think about their voters, and think about what’s best for the country. And if they do that -- if they’re not worried about who’s winning and who’s losing, did they score a point on the President, did they extract that last little concession, did they force him to do something he really doesn’t want to do just for the heck of it, and they focus on actually what’s good for the country, I actually think we can get this done."
316," You mentioned the $700,000 and $800,000. Are you willing to move on income level and are there specific things that you would do -- ","I’m not going to get into specific negotiations here. My point is simple, Carol, that if you look at Speaker Boehner’s proposal and you look at my proposal, they’re actually pretty close. They keep on saying that somehow we haven’t put forward real spending cuts. Actually, there was I think a graph in The New York Times today that showed - - they’re the same categories, right? There’s a little bit of tweaks here and there; there are a few differences, but we’re right there. And on the revenue side, there’s a difference in terms of them wanting to preserve tax breaks for folks between $250,000 and a million that we just can’t afford. I mean, keep in mind I’m in that income category; I’d love to not pay as much in taxes. But I also think it’s the right thing to do for us to make sure that people who have less -- people who are working, people who are striving, people who are hoping for their kids -- that they have opportunity. That’s what we campaigned about. That’s what we talked about. And this is not a situation where I’m unwilling to compromise. This is not a situation where I’m trying to rub their face in anything. I think anybody who looks at this objectively would say that coming off my election, I have met them at least halfway in order to get something done for the country. And so I noticed that there were a couple of headlines out there saying, oh, we’re now in the land of political posturing, and it’s the usual he said-he said atmosphere. But look at the facts. Look at where we started; look at where they started. My proposal is right there in the middle. We should be able to get this done. Let’s get it done. We don’t have a lot of time. Carrie. Where’s -- there you are."
317," Thank you, Mr. President. ",Yes.
318," What is your level of confidence that if you are able to reach a comprehensive deal with the Speaker, that he will be able to bring his members onboard and get it passed? Essentially, do you still trust Speaker Boehner in this process? ","There is no doubt that the Speaker has challenges in his caucus, and I recognize that. I’m often reminded when I speak to the Republican leadership that the majority of their caucus’s membership come from districts that I lost. And so sometimes they may not see an incentive in cooperating with me, in part because they’re more concerned about challenges from a tea party candidate, or challenges from the right, and cooperating with me may make them vulnerable. I recognize that. But, goodness, if this past week has done anything, it should just give us some perspective. If there’s one thing we should have after this week, it should be a sense of perspective about what’s important. And I would like to think that members of that caucus would say to themselves: You know what, we disagree with the President on a whole bunch of things. We wish the other guy had won. We’re going to fight him on a whole range of issues over the next four years. We think his philosophy is all screwed up. But right now, what the country needs is for us to compromise, get a deficit reduction deal in place; make sure middle class taxes don’t go up; make sure that we’re laying the foundations for growth; give certainty to businesses large and small; not put ourselves through some sort of self-inflicted crisis every six months; allow ourselves time to focus on things like preventing the tragedy in Newtown from happening again; focus on issues like energy and immigration reform and all the things that will really make a determination as to whether our country grows over the next four years, 10 years, 40 years. And if you just pull back from the immediate political battles, if you kind of peel off the partisan war paint, then we should be able to get something done. And I think the Speaker would like to get that done. I think an environment needs to be created within not just the House Republican caucus, but also among Senate Republicans that say, the campaign is over and let’s see if we can do what’s right for the country -- at least for the next month. And then we can reengage in all the other battles that they’ll want to fight."
319," If you don’t get it done, Republicans have said they’ll try to use the debt limit as a next pressure point. Would you negotiate with them in that context? ","No. And I’ve been very clear about this. This is the United States of America, the greatest country on Earth, the world’s economic superpower. And the idea that we lurch from crisis to crisis, and every six months, or every nine months, that we threaten not to pay our bills on stuff we’ve already bought, and default, and ruin the full faith and credit of the United States of America -- that’s not how you run a great country. So I’ve put forward a very clear principle: I will not negotiate around the debt ceiling. We’re not going to play the same game that we saw happen in 2011 -- which was hugely destructive; hurt our economy; provided more uncertainty to the business community than anything else that happened. And I'm not alone in this. If you go to Wall Street, including talking to a whole bunch of folks who spent a lot of money trying to beat me, they would say it would be disastrous for us to use the debt ceiling as a cudgel to try to win political points on Capitol Hill. So we're not going to do that -- which is why I think that part of what I hope over the next couple of days we see is a recognition that there is a way to go ahead and get what it is that you've been fighting for. These guys have been fighting for spending cuts. They can get some very meaningful spending cuts. This would amount to $2 trillion -- $2 trillion -- in spending cuts over the last couple of years. And in exchange, they're getting a little over a trillion dollars in revenue. And that meets the pledge that I made during the campaign, which was $2 to $2.50 of spending cuts for every revenue increase. And that's an approach that I think most Americans think is appropriate. But I will not negotiate around the debt ceiling. We're not going to do that again."
320," Sir, may I ask a question about Newtown, please? ","Yes, I've got David Jackson."
321," Thank you, Mr. President. Getting back to the gun issue, you alluded to the fact that Washington commissions don't have the greatest reputation in the world. What makes you think this one is going to be different given the passage of time and the political power of gun rights groups like the National Rifle Association? ","Well, this is not going to be a commission. Joe is going to gather up some key Cabinet members who have an interest in this issue. We're going to reach out to a bunch of stakeholders. We're going to be reaching out to members of Congress who have an interest in this issue. It's not as if we have to start from scratch. There are a whole bunch of proposals that have been thought about, debated, but hopefully also some new ideas in terms of how we deal with this issue. Their task is going to be to sift through every good idea that's out there, and even take a look at some bad ideas before disposing of them, and come up with a concrete set of recommendations in about a month. And I would hope that our memories aren't so short that what we saw in Newtown isn't lingering with us, that we don't remain passionate about it only a month later. And as soon as we get those recommendations, I will be putting forward very specific proposals. I will be talking about them in my State of The Union and we will be working with interested members of Congress to try to get some of them done. And the idea that we would say this is terrible, this is a tragedy, never again, and we don’t have the sustained attention span to be able to get this done over the next several months doesn’t make sense. I have more confidence in the American people than that. I have more confidence in the parents, the mothers and fathers that I’ve been meeting over the last several days all across the country from all political persuasions, including a lot of gun owners, who say, you know what, this time we’ve got to do things differently."
322, What about the NRA? ,"Well, the NRA is an organization that has members who are mothers and fathers. And I would expect that they’ve been impacted by this as well. And hopefully they’ll do some self-reflection. And here’s what we know -- that any single gun law can’t solve all these problems. We’re going to have to look at mental health issues. We’re going to have to look at schools. There are going to be a whole range of things that Joe’s group looks at. We know that issues of gun safety will be an element of it. And what we’ve seen over the last 20 years, 15 years, is the sense that anything related to guns is somehow an encroachment on the Second Amendment. What we’re looking for here is a thoughtful approach that says we can preserve our Second Amendment, we can make sure that responsible gun owners are able to carry out their activities, but that we’re going to actually be serious about the safety side of this; that we’re going to be serious about making sure that something like Newtown or Aurora doesn’t happen again. 0 And there is a big chunk of space between what the Second Amendment means and having no rules at all. And that space is what Joe is going to be working on to try to identify where we can find some common ground. So I’ve got -- I’m going to take one last question. Go ahead, Jake."
323, Thank you very much. ,Yes.
324," I wanted to ask about gun violence. Today marks the one-year -- or one-month anniversary of the shooting in Newtown, which seemed to generate some momentum for reinstating the assault weapons ban. But there’s been fresh opposition to that ban from the NRA. And even Harry Reid has said that he questions whether it could pass Congress. Given that, how hard will you push for an assault weapons ban? And if one cannot pass Congress, what other measures would need to be included in a broad package in order to curb gun violence successfully? ","Well, as I said, the Vice President and a number of members of my Cabinet went through a very thorough process over the last month, meeting with a lot of stakeholders in this including the NRA, listened to proposals from all quarters, and they’ve presented me now with a list of sensible, common-sense steps that can be taken to make sure that the kinds of violence we saw at Newtown doesn't happen again. I’m going to be meeting with the Vice President today. I expect to have a fuller presentation later in the week to give people some specifics about what I think we need to do. My starting point is not to worry about the politics; my starting point is to focus on what makes sense, what works; what should we be doing to make sure that our children are safe and that we’re reducing the incidents of gun violence. And I think we can do that in a sensible way that comports with the Second Amendment. And then members of Congress I think are going to have to have a debate and examine their own conscience -- because if, in fact -- and I believe this is true -- everybody across party lines was as deeply moved and saddened as I was by what happened in Newtown, then we’re going to have to vote based on what we think is best. We’re going to have to come up with answers that set politics aside. And that's what I expect Congress to do. But what you can count is, is that the things that I’ve said in the past -- the belief that we have to have stronger background checks, that we can do a much better job in terms of keeping these magazine clips with high capacity out of the hands of folks who shouldn’t have them, an assault weapons ban that is meaningful -- that those are things I continue to believe make sense. Will all of them get through this Congress? I don’t know. But what’s uppermost in my mind is making sure that I’m honest with the American people and with members of Congress about what I think will work, what I think is something that will make a difference. And to repeat what I’ve said earlier -- if there is a step we can take that will save even one child from what happened in Newtown, we should take that step."
325, Can a package be discussed to allow an assault weapons ban? ,"I’ll present the details later in the week. Chuck Todd, NBC."
326," Thank you, sir. As you know, the Senate Democrats, Harry Reid sent you a letter begging you, essentially, to take -- consider some sort of executive action on this debt ceiling issue. I know you’ve said you’re not negotiating on it. Your administration has ruled out the various ideas that have been out there -- the 14th Amendment. But just this morning, one of the House Democratic leaders, Jim Clyburn, asked you to use the 14th Amendment and even said, sometimes that’s what it takes. He brought up the Emancipation Proclamation as saying it took executive action when Congress wouldn’t act, and he compared the debt ceiling to that. So are you considering a plan B, and if not, why not? ","Well, Chuck, the issue here is whether or not America pays its bills. We are not a deadbeat nation. And so there’s a very simple solution to this: Congress authorizes us to pay our bills. Now, if the House and the Senate want to give me the authority so that they don’t have to take these tough votes, if they want to put the responsibility on me to raise the debt ceiling, I’m happy to take it. Mitch McConnell, the Republican Leader in the Senate, had a proposal like that last year, and I’m happy to accept it. But if they want to keep this responsibility, then they need to go ahead and get it done. And there are no magic tricks here. There are no loopholes. There are no easy outs. This is a matter of Congress authorizes spending. They order me to spend. They tell me, you need to fund our Defense Department at such and such a level; you need to send out Social Security checks; you need to make sure that you are paying to care for our veterans. They lay all this out for me because they have the spending power. And so I am required by law to go ahead and pay these bills. Separately, they also have to authorize the raising of the debt ceiling in order to make sure that those bills are paid. And so, what Congress can't do is tell me to spend X, and then say, but we're not going to give you the authority to go ahead and pay the bills. And I just want to repeat -- because I think sometimes the American people, understandably, aren't following all the debates here in Washington -- raising the debt ceiling does not authorize us to spend more. All it does is say that America will pay its bills. And we are not a dead-beat nation. And the consequences of us not paying our bills, as I outlined in my opening statement, would be disastrous. So I understand the impulse to try to get around this in a simple way. But there's one way to get around this. There's one way to deal with it. And that is for Congress to authorize me to pay for those items of spending that they have already authorized. And the notion that Republicans in the House, or maybe some Republicans in the Senate, would suggest that “in order for us to get our way on our spending priorities, that we would risk the full faith and credit of the United States” -- that I think is not what the Founders intended. That's not how I think most Americans think our democracy should work. They've got a point of view; Democrats in Congress have a point of view. They need to sit down and work out a compromise."
327, You just outlined an entire rationale for why this can't happen. ,Yes.
328, And if -- then if -- and you're not negotiating on the debt ceiling. ,Yes.
329," So you're not negotiating and they say you have to negotiate, and you're not considering another plan B, then do you just wait it out and we do go -- we do see all these things happen? ","Well look, Chuck, there are -- there's a pretty straightforward way of doing this and that is to set the debt ceiling aside, we pay our bills, and then we have a vigorous debate about how we're going to do further deficit reduction in a balanced way. Keep in mind that what we've heard from some Republicans in both the House and the Senate is that they will only increase the debt ceiling by the amount of spending cuts that they're able to push through and -- in order to replace the automatic spending cuts of the sequester -- that's $1.2 trillion. Say it takes another trillion or trillion-two to get us through one more year, they'd have to identify $2.5 trillion in cuts just to get the debt ceiling extended to next year -- $2.5 trillion. They can't even -- Congress has not been able to identify $1.2 trillion in cuts that they're happy with. Because these same Republicans say they don’t want to cut defense; they've claimed that they don't want to gut Medicare or harm the vulnerable. But the truth of the matter is that you can't meet their own criteria without drastically cutting Medicare, or having an impact on Medicaid, or affecting our defense spending. So the math just doesn’t add up. Now, here’s what would work. What would work would be for us to say we’ve already done close to $2 trillion in deficit reduction, and if you add the interest that we won’t be paying because of less spending and increased revenue, it adds up to about $2.5 trillion. The consensus is we need about $4 trillion to stabilize our debt and our deficit, which means we need about $1.5 trillion more. The package that I offered to Speaker Boehner before we -- before the New Year would achieve that. We were actually fairly close in terms of arriving at that number. So if the goal is to make sure that we are being responsible about our debt and our deficit, if that’s the conversation we’re having, I’m happy to have that conversation. And by closing some additional loopholes through tax reform -- which Speaker Boehner has acknowledged can raise money in a sensible way -- and by doing some additional cuts, including making sure that we are reducing our health care spending, which is the main driver of our deficits, we can arrive at a package that gets this thing done. I’m happy to have that conversation. What I will not do is to have that negotiation with a gun at the head of the American people -- the threat that “unless we get our way, unless you gut Medicare or Medicaid, or otherwise slash things that the American people don’t believe should be slashed, that we’re going to threaten to wreck the entire economy.” That is not how historically this has been done. That’s not how we’re going to do it this time."
330, No plan B? You're not searching for any other -- ,"Chuck, what I’m saying to you is that there is no simpler solution, no ready, credible solution, other than Congress either give me the authority to raise the debt ceiling, or exercise the responsibility that they have kept for themselves and raise the debt ceiling. Because this is about paying your bills. Everybody here understands this. I mean, this is not a complicated concept. You don’t go out to dinner and then eat all you want, and then leave without paying the check. And if you do, you’re breaking the law. And Congress should think about it the same way that the American people do. You don’t -- now, if Congress wants to have a debate about maybe we shouldn’t go out to dinner next time, maybe we should go to a more modest restaurant, that’s fine. That’s a debate that we should have. But you don’t say, in order for me to control my appetites, I’m going to not pay the people who already provided me services, people who already lent me the money. That’s not showing any discipline. All that’s doing is not meeting your obligations. You can’t do that. And that’s not a credible way to run this government. We’ve got to stop lurching from crisis to crisis to crisis, when there’s this clear path ahead of us that simply requires some discipline, some responsibility and some compromise. That’s where we need to go. That’s how this needs to work. Major Garrett."
331," Thank you, Mr. President. As you well know, sir, finding votes for the debt ceiling can sometimes be complicated. You, yourself, as a member of the Senate, voted against a debt ceiling increase. And in previous aspects of American history -- President Reagan in 1985, President George Herbert Walker Bush in 1990, President Clinton in 1997 -- all signed deficit reduction deals that were contingent upon or in the context of raising the debt ceiling. You, yourself, four times have done that. Three times, those were related to deficit reduction or budget maneuvers. What Chuck and I and I think many people are curious about is this new, adamant desire on your part not to negotiate, when that seems to conflict with the entire history in the modern era of American Presidents and the debt ceiling, and your own history on the debt ceiling. And doesn’t that suggest that we are going to go into a default situation because no one is talking to each other about how to resolve this? ","Well, no, Major, I think if you look at the history, getting votes for the debt ceiling is always difficult, and budgets in this town are always difficult. I went through this just last year. But what’s different is we never saw a situation as we saw last year in which certain groups in Congress took such an absolutist position that we came within a few days of defaulting. And the fact of the matter is, is that we have never seen the debt ceiling used in this fashion, where the notion was, you know what, we might default unless we get 100 percent of what we want. That hasn’t happened. Now, as I indicated before, I’m happy to have a conversation about how we reduce our deficits further in a sensible way. Although one thing I want to point out is that the American people are also concerned about how we grow our economy, how we put people back to work, how we make sure that we finance our workers getting properly trained and our schools are giving our kids the education we deserve. There’s a whole growth agenda which will reduce our deficits that’s important as well. But what you’ve never seen is the notion that has been presented, so far at least, by the Republicans that deficit reduction -- we’ll only count spending cuts; that we will raise the deficit -- or the debt ceiling dollar for dollar on spending cuts. There are a whole set of rules that have been established that are impossible to meet without doing severe damage to the economy. And so what we’re not going to do is put ourselves in a position where in order to pay for spending that we’ve already incurred, that our two options are we’re either going to profoundly hurt the economy and hurt middle-class families and hurt seniors and hurt kids who are trying to go to college, or, alternatively, we’re going to blow up the economy. We’re not going to do that."
332," [Inaudible] -- open to a one-to-three-month extension to the debt ceiling -- whatever Congress sends you, you’re okay with it? ","No, not whatever Congress sends me. They’re going to have to send me something that’s sensible. And we shouldn’t be doing this --"
333, -- [inaudible] -- ,"-- and we shouldn’t be doing this on a one to three-month timeframe. Why would we do that? This is the United States of America, Major. What, we can’t manage our affairs in such a way that we pay our bills and we provide some certainty in terms of how we pay our bills? Look, I don’t think anybody would consider my position unreasonable here. I have --"
334," But why does it presuppose the need to negotiate and talk about this on a daily basis? Because if default is the biggest threat to the economy, why not talk about it -- ","Major, I am happy to have a conversation about how we reduce our deficits. I’m not going to have a monthly or every-three-months conversation about whether or not we pay our bills. Because that in and of itself does severe damage. Even the threat of default hurts our economy. It’s hurting our economy as we speak. We shouldn’t be having that debate. If we want to have a conversation about how to reduce our deficit, let’s have that. We’ve been having that for the last two years. We just had an entire campaign about it. And by the way, the American people agreed with me that we should reduce our deficits in a balanced way that also takes into account the need for us to grow this economy and put people back to work. And despite that conversation, and despite the election results, the position that’s been taken on the part of some House Republicans is that, “no, we’ve got to do it our way, and if we don’t, we simply won’t pay America’s bills.” Well, that can’t be a position that is sustainable over time. It’s not one that's good for the economy now. It's certainly not going to be the kind of precedent that I want to establish not just for my presidency, but for future Presidents, even if it was on the other side. Democrats don't like voting for the debt ceiling when a Republican is President, and yet you -- but you never saw a situation in which Democrats suggested somehow that we would go ahead and default if we didn't get 100 percent of our way. That's just not how it's supposed to work. Jon Karl."
335," Thank you, Mr. President. On the issue of guns, given how difficult it will be -- some would say impossible -- to get any gun control measure passed through this Congress, what are you willing or able to do, using the powers of your presidency, to act without Congress? And I'd also like to know, what do you make of these long lines we're seeing at gun shows and gun stores all around the country? I mean, even in Connecticut, applications for guns are up since the shooting in Newtown. ","Well, my understanding is the Vice President is going to provide a range of steps that we can take to reduce gun violence. Some of them will require legislation. Some of them I can accomplish through executive action. And so I'll be reviewing those today. And as I said, I'll speak in more detail to what we're going to go ahead and propose later in the week. But I'm confident that there are some steps that we can take that don't require legislation and that are within my authority as President. And where you get a step that has the opportunity to reduce the possibility of gun violence then I want to go ahead and take it."
336, Any idea of what kind of steps? ,"Well, I think, for example, how we are gathering data, for example, on guns that fall into the hands of criminals, and how we track that more effectively -- there may be some steps that we can take administratively as opposed through legislation. As far as people lining up and purchasing more guns, I think that we've seen for some time now that those who oppose any common-sense gun control or gun safety measures have a pretty effective way of ginning up fear on the part of gun owners that somehow the federal government is about to take all your guns away. And there's probably an economic element to that. It obviously is good for business. But I think that those of us who look at this problem have repeatedly said that responsible gun owners, people who have a gun for protection, for hunting, for sportsmanship, they don't have anything to worry about. The issue here is not whether or not we believe in the Second Amendment. The issue is, are there some sensible steps that we can take to make sure that somebody like the individual in Newtown can't walk into a school and gun down a bunch of children in a shockingly rapid fashion. And surely, we can do something about that. 0 But part of the challenge that we confront is, is that even the slightest hint of some sensible, responsible legislation in this area fans this notion that somehow, here it comes and everybody's guns are going to be taken away. It's unfortunate, but that's the case. And if you look at over the first four years of my administration, we’ve tried to tighten up and enforce some of the laws that were already on the books. But it would be pretty hard to argue that somehow gun owners have had their rights infringed."
